Show,Season,Name,Age,Hometown,Occupation,Outcome
The Bachelor,Seasons[],1,"March 25 – April 25, 2002",Alex Michel,Amanda Marsh,Trista Rehn
The Bachelor,Seasons[],2,"September 25 – November 20, 2002",Aaron Buerge,Helene Eksterowicz,Brooke Smith
The Bachelor,Seasons[],3,"March 24 – May 21, 2003",Andrew Firestone,Jennifer Schefft,Kirsten Buschbacher
The Bachelor,Seasons[],4,"September 24 – November 20, 2003",Bob Guiney,Estella Gardinier,Kelly Kuharski
The Bachelor,Seasons[],5,"April 7 – May 26, 2004",Jesse Palmer,Jessica Bowlin,Tara Huckeby
The Bachelor,Seasons[],6,"September 22 – November 24, 2004",Byron Velvick,Mary Delgado,Tanya Michel
The Bachelor,Seasons[],7,"March 28 – May 16, 2005",Charlie O'Connell,Sarah Brice,Krisily Kennedy
The Bachelor,Seasons[],8,"January 9 – February 27, 2006",Travis Lane Stork,Sarah Stone,Moana Dixon
The Bachelor,Seasons[],9,"October 2 – November 27, 2006",Lorenzo Borghese,Jennifer Wilson,Sadie Murray
The Bachelor,Seasons[],10,"April 2 – May 22, 2007",Andy Baldwin,Tessa Horst,Bevin Powers
The Bachelor,Seasons[],11,"September 24 – November 20, 2007",Brad Womack,None,DeAnna Pappas
The Bachelor,Seasons[],12,"March 17 – May 12, 2008",Matt Grant,Shayne Lamas,Chelsea Wanstrath
The Bachelor,Seasons[],13,"January 5 – March 2, 2009",Jason Mesnick,Melissa Rycroft,Molly Malaney
The Bachelor,Seasons[],14,"January 4 – March 1, 2010",Jake Pavelka,Vienna Girardi,Tenley Molzahn
The Bachelor,Seasons[],15,"January 3 – March 14, 2011",Brad Womack,Emily Maynard,Chantal O'Brien
The Bachelor,Seasons[],16,"January 2 – March 12, 2012",Ben Flajnik,Courtney Robertson,Lindsey Cox
The Bachelor,Seasons[],17,"January 7 – March 11, 2013",Sean Lowe,Catherine Giudici,Lindsay Yenter
